,question,question_id,question_type,answer
7,What other information should I know about Chlorzoxazone ?,0000243-9,other information,
8,What are the brand names of Chlorzoxazone ?,0000243-10,brand names,
0,Who should get Cholestyramine Resin and why is it prescribed ?,0000244-1,indication,
1,How should Cholestyramine Resin be used and what is the dosage ?,0000244-2,usage,
2,Are there safety concerns or special precautions about Cholestyramine Resin ?,0000244-3,precautions,
3,What special dietary instructions should I follow with Cholestyramine Resin ?,0000244-4,dietary,
4,What should I do if I forget a dose of Cholestyramine Resin ?,0000244-5,forget a dose,
5,What are the side effects or risks of Cholestyramine Resin ?,0000244-6,side effects,
6,What should I know about storage and disposal of Cholestyramine Resin ?,0000244-7,storage and disposal,
7,What other information should I know about Cholestyramine Resin ?,0000244-8,other information,
8,What are the brand names of Cholestyramine Resin ?,0000244-9,brand names,
0,Who should get Choline Magnesium Trisalicylate and why is it prescribed ?,0000245-1,indication,
1,How should Choline Magnesium Trisalicylate be used and what is the dosage ?,0000245-2,usage,
2,Are there safety concerns or special precautions about Choline Magnesium Trisalicylate ?,0000245-4,precautions,
3,What special dietary instructions should I follow with Choline Magnesium Trisalicylate ?,0000245-5,dietary,
4,What should I do if I forget a dose of Choline Magnesium Trisalicylate ?,0000245-6,forget a dose,
5,What are the side effects or risks of Choline Magnesium Trisalicylate ?,0000245-7,side effects,
6,What should I know about storage and disposal of Choline Magnesium Trisalicylate ?,0000245-8,storage and disposal,
7,What to do in case of emergency or overdose of Choline Magnesium Trisalicylate ?,0000245-9,emergency or overdose,
8,What other information should I know about Choline Magnesium Trisalicylate ?,0000245-10,other information,
9,What are the brand names of Choline Magnesium Trisalicylate ?,0000245-11,brand names,
0,Who should get Ciclesonide Nasal Spray and why is it prescribed ?,0000246-1,indication,
1,How should Ciclesonide Nasal Spray be used and what is the dosage ?,0000246-2,usage,
2,Are there safety concerns or special precautions about Ciclesonide Nasal Spray ?,0000246-4,precautions,
3,What special dietary instructions should I follow with Ciclesonide Nasal Spray ?,0000246-5,dietary,
4,What should I do if I forget a dose of Ciclesonide Nasal Spray ?,0000246-6,forget a dose,
5,What are the side effects or risks of Ciclesonide Nasal Spray ?,0000246-7,side effects,
6,What should I know about storage and disposal of Ciclesonide Nasal Spray ?,0000246-8,storage and disposal,
7,What to do in case of emergency or overdose of Ciclesonide Nasal Spray ?,0000246-9,emergency or overdose,
8,What other information should I know about Ciclesonide Nasal Spray ?,0000246-10,other information,
9,What are the brand names of Ciclesonide Nasal Spray ?,0000246-11,brand names,
0,Who should get Ciclesonide Oral Inhalation and why is it prescribed ?,0000247-1,indication,
1,How should Ciclesonide Oral Inhalation be used and what is the dosage ?,0000247-2,usage,
2,Are there safety concerns or special precautions about Ciclesonide Oral Inhalation ?,0000247-4,precautions,
3,What special dietary instructions should I follow with Ciclesonide Oral Inhalation ?,0000247-5,dietary,
4,What should I do if I forget a dose of Ciclesonide Oral Inhalation ?,0000247-6,forget a dose,
5,What are the side effects or risks of Ciclesonide Oral Inhalation ?,0000247-7,side effects,
6,What should I know about storage and disposal of Ciclesonide Oral Inhalation ?,0000247-8,storage and disposal,
7,What other information should I know about Ciclesonide Oral Inhalation ?,0000247-9,other information,
8,What are the brand names of Ciclesonide Oral Inhalation ?,0000247-10,brand names,
0,Who should get Ciclopirox Topical and why is it prescribed ?,0000248-1,indication,
1,How should Ciclopirox Topical be used and what is the dosage ?,0000248-2,usage,
2,Are there safety concerns or special precautions about Ciclopirox Topical ?,0000248-4,precautions,
3,What special dietary instructions should I follow with Ciclopirox Topical ?,0000248-5,dietary,
4,What should I do if I forget a dose of Ciclopirox Topical ?,0000248-6,forget a dose,
5,What are the side effects or risks of Ciclopirox Topical ?,0000248-7,side effects,
6,What should I know about storage and disposal of Ciclopirox Topical ?,0000248-8,storage and disposal,
7,What other information should I know about Ciclopirox Topical ?,0000248-9,other information,
8,What are the brand names of Ciclopirox Topical ?,0000248-10,brand names,
0,What important warning or information should I know about Cidofovir Injection ?,0000249-1,important warning,
1,What other information should I know about Cidofovir Injection ?,0000249-2,other information,
2,Are there safety concerns or special precautions about Cidofovir Injection ?,0000249-3,precautions,
3,What are the side effects or risks of Cidofovir Injection ?,0000249-5,side effects,
4,What should I know about storage and disposal of Cidofovir Injection ?,0000249-6,storage and disposal,
5,What to do in case of emergency or overdose of Cidofovir Injection ?,0000249-7,emergency or overdose,
6,What are the brand names of Cidofovir Injection ?,0000249-9,brand names,
0,What important warning or information should I know about Cilostazol ?,0000250-1,important warning,
1,Who should get Cilostazol and why is it prescribed ?,0000250-2,indication,
2,How should Cilostazol be used and what is the dosage ?,0000250-3,usage,
3,Are there safety concerns or special precautions about Cilostazol ?,0000250-5,precautions,
4,What should I do if I forget a dose of Cilostazol ?,0000250-6,forget a dose,
5,What are the side effects or risks of Cilostazol ?,0000250-7,side effects,
6,What should I know about storage and disposal of Cilostazol ?,0000250-8,storage and disposal,
7,What to do in case of emergency or overdose of Cilostazol ?,0000250-9,emergency or overdose,
8,What other information should I know about Cilostazol ?,0000250-10,other information,
9,What are the brand names of Cilostazol ?,0000250-11,brand names,
0,Who should get Cimetidine and why is it prescribed ?,0000251-1,indication,
1,How should Cimetidine be used and what is the dosage ?,0000251-2,usage,
2,Are there safety concerns or special precautions about Cimetidine ?,0000251-4,precautions,
3,What special dietary instructions should I follow with Cimetidine ?,0000251-5,dietary,
4,What should I do if I forget a dose of Cimetidine ?,0000251-6,forget a dose,
5,What are the side effects or risks of Cimetidine ?,0000251-7,side effects,
6,What should I know about storage and disposal of Cimetidine ?,0000251-8,storage and disposal,
7,What to do in case of emergency or overdose of Cimetidine ?,0000251-9,emergency or overdose,
8,What other information should I know about Cimetidine ?,0000251-10,other information,
9,What are the brand names of Cimetidine ?,0000251-11,brand names,
0,What other information should I know about Cimetidine Hydrochloride Injection ?,0000252-1,other information,
1,Are there safety concerns or special precautions about Cimetidine Hydrochloride Injection ?,0000252-2,precautions,
2,What are the side effects or risks of Cimetidine Hydrochloride Injection ?,0000252-4,side effects,
3,What should I know about storage and disposal of Cimetidine Hydrochloride Injection ?,0000252-5,storage and disposal,
4,What to do in case of emergency or overdose of Cimetidine Hydrochloride Injection ?,0000252-6,emergency or overdose,
5,What are the brand names of Cimetidine Hydrochloride Injection ?,0000252-8,brand names,
0,Who should get Cinacalcet and why is it prescribed ?,0000253-1,indication,
1,How should Cinacalcet be used and what is the dosage ?,0000253-2,usage,
2,Are there safety concerns or special precautions about Cinacalcet ?,0000253-4,precautions,
3,What special dietary instructions should I follow with Cinacalcet ?,0000253-5,dietary,
4,What should I do if I forget a dose of Cinacalcet ?,0000253-6,forget a dose,
5,What are the side effects or risks of Cinacalcet ?,0000253-7,side effects,
6,What should I know about storage and disposal of Cinacalcet ?,0000253-8,storage and disposal,
7,What to do in case of emergency or overdose of Cinacalcet ?,0000253-9,emergency or overdose,
8,What other information should I know about Cinacalcet ?,0000253-10,other information,
9,What are the brand names of Cinacalcet ?,0000253-11,brand names,
0,What important warning or information should I know about Ciprofloxacin ?,0000254-1,important warning,
1,Who should get Ciprofloxacin and why is it prescribed ?,0000254-2,indication,
2,How should Ciprofloxacin be used and what is the dosage ?,0000254-3,usage,
3,Are there safety concerns or special precautions about Ciprofloxacin ?,0000254-5,precautions,
4,What special dietary instructions should I follow with Ciprofloxacin ?,0000254-6,dietary,
5,What should I do if I forget a dose of Ciprofloxacin ?,0000254-7,forget a dose,
6,What are the side effects or risks of Ciprofloxacin ?,0000254-8,side effects,
7,What should I know about storage and disposal of Ciprofloxacin ?,0000254-9,storage and disposal,
8,What to do in case of emergency or overdose of Ciprofloxacin ?,0000254-10,emergency or overdose,
9,What other information should I know about Ciprofloxacin ?,0000254-11,other information,
10,What are the brand names of Ciprofloxacin ?,0000254-12,brand names,
0,Who should get Ciprofloxacin and Dexamethasone Otic and why is it prescribed ?,0000255-1,indication,
1,How should Ciprofloxacin and Dexamethasone Otic be used and what is the dosage ?,0000255-2,usage,
2,Are there safety concerns or special precautions about Ciprofloxacin and Dexamethasone Otic ?,0000255-3,precautions,
3,What special dietary instructions should I follow with Ciprofloxacin and Dexamethasone Otic ?,0000255-4,dietary,
4,What should I do if I forget a dose of Ciprofloxacin and Dexamethasone Otic ?,0000255-5,forget a dose,
5,What are the side effects or risks of Ciprofloxacin and Dexamethasone Otic ?,0000255-6,side effects,
6,What should I know about storage and disposal of Ciprofloxacin and Dexamethasone Otic ?,0000255-7,storage and disposal,
7,What to do in case of emergency or overdose of Ciprofloxacin and Dexamethasone Otic ?,0000255-8,emergency or overdose,
